timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1756550757353480000,-0.3825379014015198,-11.925993919372559,572.1465110778809,781.8528342247009,572.1465110778809,781.8528342247009,16.5,4.0,1,1,0,0
1756550757388042100,-0.43487054109573364,-9.83986759185791,501.73004150390625,621.1634302139282,501.73004150390625,621.1634302139282,30.5,6.0,1,1,0,0
1756550757429093900,0.05970855429768562,-3.500688076019287,733.9072608947754,337.28219389915466,733.9072608947754,337.28219389915466,32.5,14.5,1,1,0,0
1756550757454640400,0.24375729262828827,-3.5110116004943848,682.1824264526367,350.10854959487915,682.1824264526367,350.10854959487915,35.5,16.5,1,1,0,0
1756550757479666500,-0.06265492737293243,-3.598635673522949,269.5759391784668,228.4137922525406,269.5759391784668,228.4137922525406,63.0,15.5,1,1,0,0
1756550757508190600,-0.056109022349119186,-3.048555612564087,199.02029514312744,152.04339981079102,199.02029514312744,152.04339981079102,80.0,32.0,1,1,0,0
1756550757541737600,-0.1577041894197464,-4.2909770011901855,272.3075294494629,276.7363142967224,501.73004150390625,337.28219389915466,85.5,41.0,1,1,0,0
1756550757586066700,-0.022175382822752,-3.851444721221924,234.3493366241455,215.60192048549652,272.3075294494629,276.7363142967224,84.0,45.0,1,1,0,0
1756550757618592800,-1.6120549440383911,-4.450897216796875,377.47289657592773,248.65575850009918,377.47289657592773,276.7363142967224,73.5,46.5,1,1,0,0
1756550757669706100,2.1119515895843506,-4.480551242828369,1100.6060028076172,257.5682991743088,501.73004150390625,276.7363142967224,81.5,45.0,1,1,0,0
1756550757695684500,1.2592962980270386,-4.718071460723877,1022.2863006591797,281.0022175312042,377.47289657592773,276.7363142967224,72.0,45.5,1,1,0,0
1756550757717704300,0.5735423564910889,-6.772697448730469,924.7056770324707,470.1012361049652,501.73004150390625,276.7363142967224,81.0,48.0,1,1,0,0
1756550757747089800,0.07874192297458649,-5.772914409637451,903.0558586120605,401.45758509635925,903.0558586120605,276.7363142967224,92.5,51.5,1,1,0,0
1756550757783624000,-0.4463828206062317,-6.609035015106201,845.5321884155273,467.5450801849365,845.5321884155273,281.0022175312042,106.0,62.0,1,1,0,0
1756550757828542800,-1.8113187551498413,-6.867509841918945,687.2416305541992,497.3010563850403,687.2416305541992,401.45758509635925,108.0,53.0,1,1,0,0
1756550757853635600,-1.755928635597229,-6.787708282470703,697.2668838500977,493.73247385025024,845.5321884155273,401.45758509635925,106.0,50.0,1,1,0,0
